transaction_id,customer_id,timestamp,amount,merchant_category,beneficiary_id,fraud_label
TX_000001,CUST_0036,10-01-2026 06:07,73.58,p2p_transfer,BENEF_0249,0.0
TX_000002,CUST_0097,10-01-2026 07:04,128.56,utilities,BENEF_0038,0.0
TX_000003,CUST_0096,10-01-2026 08:33,422.5,dining,BENEF_0101,0.0
TX_000004,CUST_0052,10-01-2026 08:56,36.15,grocery_pos,BENEF_0018,0.0
TX_000005,CUST_0021,10-01-2026 09:20,256.17,travel_flight,BENEF_0095,0.0
TX_000006,CUST_0074,10-01-2026 10:12,219.32,travel_flight,BENEF_0075,0.0
TX_000007,CUST_0075,10-01-2026 11:05,96.78,dining,BENEF_0069,0.0
TX_000008,CUST_0005,10-01-2026 12:09,187.29,utilities,BENEF_0211,0.0
TX_000009,CUST_0076,10-01-2026 12:36,398.29,travel_flight,BENEF_0201,0.0
TX_000010,CUST_0039,10-01-2026 14:05,361.05,travel_flight,BENEF_0060,0.0
TX_000011,CUST_0070,10-01-2026 14:32,239.85,shopping_online,BENEF_0132,0.0
TX_000012,CUST_0070,10-01-2026 15:14,51.62,p2p_transfer,BENEF_0183,0.0
TX_000013,CUST_0077,10-01-2026 16:43,186.3,p2p_transfer,BENEF_0036,0.0
TX_000014,CUST_0005,10-01-2026 18:11,298.76,dining,BENEF_0194,0.0
TX_000015,CUST_0071,10-01-2026 19:33,1434.13,electronics,BENEF_SUSP_9706,1.0
TX_000016,CUST_0022,10-01-2026 19:56,345.06,dining,BENEF_0230,0.0
TX_000017,CUST_0050,10-01-2026 20:16,441.8,grocery_pos,BENEF_0013,0.0
TX_000018,CUST_0035,10-01-2026 21:16,42.38,dining,BENEF_0239,0.0
TX_000019,CUST_0033,10-01-2026 21:39,237.5,utilities,BENEF_0186,0.0
TX_000020,CUST_0030,10-01-2026 22:54,175.69,utilities,BENEF_0097,0.0
TX_000021,CUST_0001,10-01-2026 23:30,292.0,travel_flight,BENEF_0164,0.0
TX_000022,CUST_0009,11-01-2026 00:07,292.21,shopping_online,BENEF_0229,0.0
TX_000023,CUST_0051,11-01-2026 01:21,374.16,utilities,BENEF_0013,0.0
TX_000024,CUST_0015,11-01-2026 02:00,223.34,dining,BENEF_0184,0.0
TX_000025,CUST_0059,11-01-2026 02:26,302.72,utilities,BENEF_0060,0.0
TX_000026,CUST_0027,11-01-2026 03:53,30.06,electronics,BENEF_0157,0.0
TX_000027,CUST_0067,11-01-2026 05:11,302.0,shopping_online,BENEF_0125,0.0
TX_000028,CUST_0051,11-01-2026 05:27,341.73,dining,BENEF_0173,0.0
TX_000029,CUST_0098,11-01-2026 06:14,36.15,dining,BENEF_0239,0.0
TX_000030,CUST_0077,11-01-2026 07:18,399.44,shopping_online,BENEF_0132,0.0
TX_000031,CUST_0015,11-01-2026 08:38,83.88,travel_flight,BENEF_0075,0.0
TX_000032,CUST_0074,11-01-2026 08:56,341.88,grocery_pos,BENEF_0245,0.0
TX_000033,CUST_0093,11-01-2026 10:17,323.63,p2p_transfer,BENEF_0020,0.0
TX_000034,CUST_0059,11-01-2026 10:32,78.95,p2p_transfer,BENEF_0220,0.0
TX_000035,CUST_0038,11-01-2026 11:35,172.54,electronics,BENEF_0105,0.0
TX_000036,CUST_0022,11-01-2026 12:12,179.98,grocery_pos,BENEF_0047,0.0
TX_000037,CUST_0085,11-01-2026 12:34,65.61,grocery_pos,BENEF_0116,0.0
TX_000038,CUST_0001,11-01-2026 13:28,287.8,electronics,BENEF_0219,0.0
TX_000039,CUST_0040,11-01-2026 14:00,353.9,dining,BENEF_0069,0.0
TX_000040,CUST_0094,11-01-2026 14:32,37.16,electronics,BENEF_0235,0.0
TX_000041,CUST_0009,11-01-2026 15:01,236.24,grocery_pos,BENEF_0156,0.0
TX_000042,CUST_0060,11-01-2026 15:25,78.86,electronics,BENEF_0176,0.0
TX_000043,CUST_0033,11-01-2026 16:36,98.38,dining,BENEF_0161,0.0
TX_000044,CUST_0040,11-01-2026 17:36,330.68,grocery_pos,BENEF_0201,0.0
TX_000045,CUST_0082,11-01-2026 18:48,296.02,travel_flight,BENEF_0054,0.0
TX_000046,CUST_0044,11-01-2026 19:39,252.75,travel_flight,BENEF_0213,0.0
TX_000047,CUST_0081,11-01-2026 20:16,167.74,travel_flight,BENEF_0016,0.0
TX_000048,CUST_0051,11-01-2026 20:52,340.39,travel_flight,BENEF_0060,0.0
TX_000049,CUST_0092,11-01-2026 21:58,104.36,utilities,BENEF_0087,0.0
TX_000050,CUST_0019,11-01-2026 22:47,271.7,dining,BENEF_0199,0.0
TX_000051,CUST_0001,11-01-2026 23:45,437.19,p2p_transfer,BENEF_0220,0.0
TX_000052,CUST_0017,12-01-2026 00:07,311.81,p2p_transfer,BENEF_0008,0.0
TX_000053,CUST_0027,12-01-2026 00:47,176.04,p2p_transfer,BENEF_0031,0.0
TX_000054,CUST_0069,12-01-2026 02:02,397.03,shopping_online,BENEF_0018,0.0
TX_000055,CUST_0078,12-01-2026 02:35,49.29,travel_flight,BENEF_0004,0.0
TX_000056,CUST_0082,12-01-2026 03:24,77.94,shopping_online,BENEF_0232,0.0
TX_000057,CUST_0075,12-01-2026 04:00,172.48,travel_flight,BENEF_0246,0.0
TX_000058,CUST_0091,12-01-2026 04:34,382.31,dining,BENEF_0118,0.0
TX_000059,CUST_0079,12-01-2026 05:55,291.83,dining,BENEF_0096,0.0
